1275
-common_pairs-
vid1 #-# vid2 #-# minhash_sim
12 #-# 2 #-# -1
12 #-# 182 #-# -1
644 #-# 858 #-# -1
645 #-# 857 #-# -1
645 #-# 282 #-# -1
1640 #-# 281 #-# -1
645 #-# 280 #-# -1
645 #-# 277 #-# -1
8 #-# 9 #-# -1
1985 #-# 1645 #-# -1
646 #-# 862 #-# -1
8 #-# 183 #-# -1
8 #-# 184 #-# -1
8 #-# 13 #-# -1
8 #-# 2 #-# -1
8 #-# 1 #-# -1
8 #-# 4 #-# -1
5 #-# 186 #-# -1
5 #-# 457 #-# -1
5 #-# 7 #-# -1
5 #-# 13 #-# -1
5 #-# 2 #-# -1
645 #-# 279 #-# -1
645 #-# 1809 #-# -1
1028 #-# 1641 #-# -1
5 #-# 3 #-# -1
1453 #-# 857 #-# -1
1993 #-# 1996 #-# -1
1993 #-# 1803 #-# -1
856 #-# 1561 #-# -1
1993 #-# 1643 #-# -1
1993 #-# 1644 #-# -1
1809 #-# 456 #-# -1
1638 #-# 1028 #-# -1
856 #-# 1640 #-# -1
1562 #-# 1563 #-# -1
648 #-# 1247 #-# -1
648 #-# 280 #-# -1
1986 #-# 1995 #-# -1
1986 #-# 1985 #-# -1
856 #-# 279 #-# -1
1638 #-# 1031 #-# -1
856 #-# 1566 #-# -1
648 #-# 456 #-# -1
856 #-# 859 #-# -1
181 #-# 1 #-# -1
181 #-# 4 #-# -1
1026 #-# 1027 #-# -1
1026 #-# 1031 #-# -1
856 #-# 1247 #-# -1
1026 #-# 1641 #-# -1
1809 #-# 283 #-# -1
856 #-# 1456 #-# -1
648 #-# 1030 #-# -1
1452 #-# 1640 #-# -1
1454 #-# 1456 #-# -1
1452 #-# 280 #-# -1
1986 #-# 1645 #-# -1
648 #-# 278 #-# -1
643 #-# 1452 #-# -1
643 #-# 1247 #-# -1
282 #-# 1809 #-# -1
643 #-# 856 #-# -1
643 #-# 648 #-# -1
281 #-# 283 #-# -1
1452 #-# 856 #-# -1
1455 #-# 1563 #-# -1
1984 #-# 1982 #-# -1
1984 #-# 1803 #-# -1
1984 #-# 461 #-# -1
1455 #-# 1562 #-# -1
1984 #-# 1644 #-# -1
1564 #-# 856 #-# -1
1455 #-# 1456 #-# -1
1643 #-# 462 #-# -1
1643 #-# 1988 #-# -1
1643 #-# 1984 #-# -1
1564 #-# 1454 #-# -1
1643 #-# 1644 #-# -1
1564 #-# 1566 #-# -1
1030 #-# 1990 #-# -1
1984 #-# 1985 #-# -1
459 #-# 1644 #-# -1
459 #-# 461 #-# -1
459 #-# 1996 #-# -1
459 #-# 1458 #-# -1
459 #-# 458 #-# -1
462 #-# 1994 #-# -1
462 #-# 1988 #-# -1
459 #-# 1457 #-# -1
280 #-# 1809 #-# -1
280 #-# 282 #-# -1
1456 #-# 1563 #-# -1
646 #-# 1248 #-# -1
1028 #-# 1246 #-# -1
646 #-# 1641 #-# -1
8 #-# 3 #-# -1
1985 #-# 1982 #-# -1
186 #-# 1 #-# -1
186 #-# 2 #-# -1
277 #-# 857 #-# -1
277 #-# 278 #-# -1
277 #-# 1640 #-# -1
280 #-# 281 #-# -1
277 #-# 1565 #-# -1
280 #-# 1640 #-# -1
280 #-# 1247 #-# -1
186 #-# 8 #-# -1
186 #-# 9 #-# -1
186 #-# 13 #-# -1
646 #-# 1027 #-# -1
1245 #-# 456 #-# -1
647 #-# 1802 #-# -1
186 #-# 12 #-# -1
186 #-# 184 #-# -1
1245 #-# 282 #-# -1
861 #-# 862 #-# -1
1251 #-# 643 #-# -1
1803 #-# 1457 #-# -1
1251 #-# 1640 #-# -1
1804 #-# 458 #-# -1
858 #-# 1024 #-# -1
1804 #-# 1984 #-# -1
641 #-# 1640 #-# -1
641 #-# 278 #-# -1
1804 #-# 1982 #-# -1
1251 #-# 1456 #-# -1
859 #-# 860 #-# -1
1814 #-# 1802 #-# -1
1561 #-# 279 #-# -1
859 #-# 1990 #-# -1
859 #-# 281 #-# -1
1814 #-# 647 #-# -1
858 #-# 1638 #-# -1
1995 #-# 1644 #-# -1
11 #-# 6 #-# -1
858 #-# 861 #-# -1
641 #-# 281 #-# -1
641 #-# 1452 #-# -1
857 #-# 282 #-# -1
857 #-# 279 #-# -1
858 #-# 862 #-# -1
641 #-# 648 #-# -1
858 #-# 1025 #-# -1
641 #-# 282 #-# -1
857 #-# 1640 #-# -1
11 #-# 13 #-# -1
9 #-# 1 #-# -1
9 #-# 10 #-# -1
1815 #-# 1562 #-# -1
9 #-# 13 #-# -1
1815 #-# 1563 #-# -1
1804 #-# 1985 #-# -1
11 #-# 3 #-# -1
11 #-# 2 #-# -1
11 #-# 9 #-# -1
9 #-# 2 #-# -1
279 #-# 280 #-# -1
279 #-# 1640 #-# -1
1804 #-# 1457 #-# -1
11 #-# 12 #-# -1
11 #-# 185 #-# -1
1451 #-# 1029 #-# -1
10 #-# 183 #-# -1
181 #-# 9 #-# -1
10 #-# 3 #-# -1
466 #-# 1641 #-# -1
1561 #-# 1455 #-# -1
1023 #-# 457 #-# -1
466 #-# 1031 #-# -1
10 #-# 185 #-# -1
1648 #-# 1030 #-# -1
10 #-# 4 #-# -1
11 #-# 5 #-# -1
10 #-# 1 #-# -1
1808 #-# 1639 #-# -1
466 #-# 1981 #-# -1
466 #-# 1638 #-# -1
1026 #-# 1246 #-# -1
1815 #-# 1455 #-# -1
641 #-# 280 #-# -1
181 #-# 3 #-# -1
1026 #-# 1249 #-# -1
1989 #-# 1987 #-# -1
11 #-# 183 #-# -1
645 #-# 1565 #-# -1
857 #-# 1565 #-# -1
1561 #-# 1030 #-# -1
1454 #-# 1030 #-# -1
463 #-# 1451 #-# -1
463 #-# 1564 #-# -1
1451 #-# 1564 #-# -1
1989 #-# 1645 #-# -1
1453 #-# 1648 #-# -1
645 #-# 1640 #-# -1
645 #-# 278 #-# -1
1565 #-# 278 #-# -1
11 #-# 186 #-# -1
11 #-# 1 #-# -1
1989 #-# 1988 #-# -1
1989 #-# 1994 #-# -1
1988 #-# 1994 #-# -1
277 #-# 279 #-# -1
6 #-# 2 #-# -1
1989 #-# 1803 #-# -1
1803 #-# 1994 #-# -1
6 #-# 13 #-# -1
181 #-# 7 #-# -1
1560 #-# 281 #-# -1
279 #-# 281 #-# -1
1647 #-# 1993 #-# -1
645 #-# 1561 #-# -1
645 #-# 1454 #-# -1
5 #-# 8 #-# -1
5 #-# 4 #-# -1
645 #-# 281 #-# -1
5 #-# 183 #-# -1
11 #-# 10 #-# -1
645 #-# 1247 #-# -1
1981 #-# 1027 #-# -1
1027 #-# 1246 #-# -1
859 #-# 1454 #-# -1
859 #-# 283 #-# -1
1811 #-# 1806 #-# -1
1806 #-# 1996 #-# -1
1640 #-# 282 #-# -1
281 #-# 282 #-# -1
461 #-# 1994 #-# -1
1030 #-# 281 #-# -1
1030 #-# 1809 #-# -1
281 #-# 1809 #-# -1
2 #-# 3 #-# -1
3 #-# 183 #-# -1
186 #-# 7 #-# -1
277 #-# 280 #-# -1
857 #-# 280 #-# -1
277 #-# 281 #-# -1
1984 #-# 1988 #-# -1
1564 #-# 1456 #-# -1
276 #-# 462 #-# -1
1245 #-# 1247 #-# -1
13 #-# 185 #-# -1
459 #-# 1811 #-# -1
1458 #-# 1644 #-# -1
1648 #-# 281 #-# -1
466 #-# 1026 #-# -1
1981 #-# 1026 #-# -1
1564 #-# 1561 #-# -1
1564 #-# 283 #-# -1
1564 #-# 1563 #-# -1
856 #-# 1563 #-# -1
466 #-# 457 #-# -1
1638 #-# 457 #-# -1
1 #-# 185 #-# -1
1023 #-# 1025 #-# -1
1025 #-# 457 #-# -1
186 #-# 181 #-# -1
186 #-# 3 #-# -1
1 #-# 4 #-# -1
11 #-# 181 #-# -1
646 #-# 858 #-# -1
646 #-# 861 #-# -1
1561 #-# 1456 #-# -1
862 #-# 1026 #-# -1
1026 #-# 1028 #-# -1
862 #-# 1023 #-# -1
11 #-# 7 #-# -1
12 #-# 6 #-# -1
1985 #-# 461 #-# -1
861 #-# 282 #-# -1
861 #-# 456 #-# -1
282 #-# 456 #-# -1
184 #-# 4 #-# -1
1565 #-# 280 #-# -1
8 #-# 10 #-# -1
862 #-# 1024 #-# -1
1024 #-# 1025 #-# -1
183 #-# 4 #-# -1
13 #-# 1 #-# -1
186 #-# 185 #-# -1
861 #-# 1024 #-# -1
1024 #-# 1248 #-# -1
1250 #-# 1454 #-# -1
1803 #-# 1811 #-# -1
861 #-# 1028 #-# -1
861 #-# 1246 #-# -1
1248 #-# 1249 #-# -1
181 #-# 2 #-# -1
646 #-# 1638 #-# -1
861 #-# 1638 #-# -1
644 #-# 646 #-# -1
283 #-# 456 #-# -1
12 #-# 8 #-# -1
1993 #-# 1987 #-# -1
278 #-# 280 #-# -1
857 #-# 278 #-# -1
857 #-# 456 #-# -1
278 #-# 456 #-# -1
858 #-# 1031 #-# -1
1024 #-# 1031 #-# -1
1987 #-# 1645 #-# -1
12 #-# 7 #-# -1
7 #-# 185 #-# -1
1644 #-# 1996 #-# -1
641 #-# 856 #-# -1
644 #-# 1025 #-# -1
858 #-# 1981 #-# -1
858 #-# 1246 #-# -1
858 #-# 1029 #-# -1
1024 #-# 1029 #-# -1
1804 #-# 1803 #-# -1
644 #-# 861 #-# -1
1647 #-# 1811 #-# -1
1987 #-# 1811 #-# -1
1643 #-# 1803 #-# -1
279 #-# 1454 #-# -1
279 #-# 283 #-# -1
463 #-# 1454 #-# -1
1813 #-# 280 #-# -1
643 #-# 280 #-# -1
1 #-# 2 #-# -1
9 #-# 185 #-# -1
648 #-# 1640 #-# -1
648 #-# 1809 #-# -1
1640 #-# 1809 #-# -1
856 #-# 1454 #-# -1
1813 #-# 1561 #-# -1
1640 #-# 1247 #-# -1
648 #-# 856 #-# -1
1804 #-# 1645 #-# -1
465 #-# 859 #-# -1
1986 #-# 1992 #-# -1
1986 #-# 1988 #-# -1
1804 #-# 1995 #-# -1
1982 #-# 1995 #-# -1
858 #-# 1026 #-# -1
858 #-# 1028 #-# -1
464 #-# 1813 #-# -1
1813 #-# 277 #-# -1
1986 #-# 1987 #-# -1
648 #-# 1648 #-# -1
1648 #-# 280 #-# -1
642 #-# 643 #-# -1
1993 #-# 459 #-# -1
1560 #-# 1806 #-# -1
1452 #-# 1806 #-# -1
643 #-# 278 #-# -1
856 #-# 278 #-# -1
641 #-# 279 #-# -1
1803 #-# 1987 #-# -1
1647 #-# 276 #-# -1
643 #-# 859 #-# -1
648 #-# 859 #-# -1
13 #-# 4 #-# -1
12 #-# 183 #-# -1
463 #-# 859 #-# -1
7 #-# 182 #-# -1
643 #-# 860 #-# -1
1561 #-# 1563 #-# -1
1984 #-# 458 #-# -1
465 #-# 278 #-# -1
463 #-# 465 #-# -1
465 #-# 1809 #-# -1
12 #-# 10 #-# -1
12 #-# 9 #-# -1
11 #-# 182 #-# -1
182 #-# 1 #-# -1
644 #-# 1031 #-# -1
1025 #-# 1031 #-# -1
276 #-# 1987 #-# -1
1992 #-# 461 #-# -1
1992 #-# 1987 #-# -1
461 #-# 1987 #-# -1
642 #-# 282 #-# -1
642 #-# 456 #-# -1
12 #-# 1 #-# -1
858 #-# 457 #-# -1
859 #-# 1566 #-# -1
463 #-# 1453 #-# -1
1452 #-# 279 #-# -1
2 #-# 184 #-# -1
1813 #-# 857 #-# -1
1813 #-# 1640 #-# -1
643 #-# 857 #-# -1
643 #-# 1640 #-# -1
1806 #-# 462 #-# -1
1024 #-# 1028 #-# -1
1024 #-# 1246 #-# -1
1024 #-# 1641 #-# -1
1246 #-# 1641 #-# -1
465 #-# 1452 #-# -1
1560 #-# 856 #-# -1
1984 #-# 1645 #-# -1
859 #-# 1247 #-# -1
1813 #-# 641 #-# -1
641 #-# 642 #-# -1
641 #-# 643 #-# -1
277 #-# 1564 #-# -1
277 #-# 1455 #-# -1
1564 #-# 279 #-# -1
1564 #-# 1455 #-# -1
279 #-# 1455 #-# -1
181 #-# 185 #-# -1
278 #-# 1247 #-# -1
9 #-# 184 #-# -1
642 #-# 857 #-# -1
181 #-# 13 #-# -1
1814 #-# 1638 #-# -1
1814 #-# 1027 #-# -1
1814 #-# 1031 #-# -1
1638 #-# 1027 #-# -1
464 #-# 281 #-# -1
1 #-# 183 #-# -1
181 #-# 184 #-# -1
8 #-# 185 #-# -1
279 #-# 1562 #-# -1
1455 #-# 1640 #-# -1
1640 #-# 1562 #-# -1
6 #-# 7 #-# -1
641 #-# 1247 #-# -1
641 #-# 456 #-# -1
1247 #-# 456 #-# -1
12 #-# 181 #-# -1
5 #-# 181 #-# -1
1815 #-# 860 #-# -1
860 #-# 1455 #-# -1
860 #-# 1562 #-# -1
1803 #-# 1645 #-# -1
463 #-# 1561 #-# -1
463 #-# 279 #-# -1
463 #-# 281 #-# -1
1561 #-# 281 #-# -1
5 #-# 184 #-# -1
7 #-# 8 #-# -1
1565 #-# 1640 #-# -1
1989 #-# 1995 #-# -1
1647 #-# 1995 #-# -1
1989 #-# 1996 #-# -1
1993 #-# 1986 #-# -1
1986 #-# 1996 #-# -1
1986 #-# 461 #-# -1
12 #-# 13 #-# -1
1561 #-# 1640 #-# -1
1454 #-# 1640 #-# -1
1987 #-# 1995 #-# -1
1560 #-# 1640 #-# -1
463 #-# 1250 #-# -1
276 #-# 1807 #-# -1
461 #-# 1811 #-# -1
1811 #-# 1807 #-# -1
276 #-# 1806 #-# -1
1454 #-# 281 #-# -1
10 #-# 184 #-# -1
181 #-# 10 #-# -1
9 #-# 4 #-# -1
1452 #-# 278 #-# -1
1560 #-# 859 #-# -1
1452 #-# 281 #-# -1
278 #-# 281 #-# -1
459 #-# 462 #-# -1
1993 #-# 1645 #-# -1
1454 #-# 282 #-# -1
1454 #-# 1247 #-# -1
282 #-# 1247 #-# -1
11 #-# 281 #-# -1
12 #-# 281 #-# -1
181 #-# 8 #-# -1
181 #-# 183 #-# -1
465 #-# 1245 #-# -1
1566 #-# 1245 #-# -1
464 #-# 1809 #-# -1
277 #-# 1809 #-# -1
857 #-# 1561 #-# -1
186 #-# 6 #-# -1
183 #-# 185 #-# -1
645 #-# 1245 #-# -1
1454 #-# 1455 #-# -1
1805 #-# 1812 #-# -1
1805 #-# 1646 #-# -1
1805 #-# 1810 #-# -1
1805 #-# 1983 #-# -1
1812 #-# 1646 #-# -1
1812 #-# 1810 #-# -1
1812 #-# 1983 #-# -1
1646 #-# 1810 #-# -1
1646 #-# 1983 #-# -1
1810 #-# 1983 #-# -1
465 #-# 643 #-# -1
1993 #-# 1458 #-# -1
1458 #-# 1996 #-# -1
459 #-# 1992 #-# -1
459 #-# 1987 #-# -1
1458 #-# 1992 #-# -1
1458 #-# 461 #-# -1
1458 #-# 1987 #-# -1
9 #-# 3 #-# -1
1 #-# 3 #-# -1
3 #-# 185 #-# -1
642 #-# 1640 #-# -1
276 #-# 1803 #-# -1
465 #-# 648 #-# -1
465 #-# 1030 #-# -1
648 #-# 1245 #-# -1
856 #-# 1030 #-# -1
856 #-# 1245 #-# -1
1030 #-# 1245 #-# -1
857 #-# 281 #-# -1
465 #-# 645 #-# -1
465 #-# 1640 #-# -1
645 #-# 856 #-# -1
856 #-# 1809 #-# -1
466 #-# 646 #-# -1
466 #-# 1023 #-# -1
466 #-# 1025 #-# -1
646 #-# 1023 #-# -1
646 #-# 1025 #-# -1
646 #-# 1031 #-# -1
1023 #-# 1031 #-# -1
1647 #-# 462 #-# -1
1803 #-# 462 #-# -1
642 #-# 645 #-# -1
642 #-# 1809 #-# -1
857 #-# 1809 #-# -1
1813 #-# 1808 #-# -1
642 #-# 1808 #-# -1
643 #-# 1808 #-# -1
1808 #-# 1640 #-# -1
1028 #-# 1248 #-# -1
1028 #-# 1249 #-# -1
1246 #-# 1248 #-# -1
1246 #-# 1249 #-# -1
276 #-# 1985 #-# -1
5 #-# 12 #-# -1
5 #-# 185 #-# -1
12 #-# 3 #-# -1
1989 #-# 1807 #-# -1
1993 #-# 1807 #-# -1
1993 #-# 1994 #-# -1
1803 #-# 1807 #-# -1
7 #-# 183 #-# -1
182 #-# 8 #-# -1
463 #-# 642 #-# -1
463 #-# 645 #-# -1
463 #-# 857 #-# -1
463 #-# 456 #-# -1
645 #-# 456 #-# -1
186 #-# 183 #-# -1
1560 #-# 645 #-# -1
1560 #-# 857 #-# -1
641 #-# 645 #-# -1
1804 #-# 462 #-# -1
1985 #-# 1995 #-# -1
1985 #-# 462 #-# -1
1982 #-# 462 #-# -1
1995 #-# 462 #-# -1
1986 #-# 1803 #-# -1
465 #-# 1561 #-# -1
465 #-# 279 #-# -1
465 #-# 1454 #-# -1
1560 #-# 1561 #-# -1
1560 #-# 1454 #-# -1
10 #-# 13 #-# -1
7 #-# 280 #-# -1
7 #-# 1640 #-# -1
7 #-# 281 #-# -1
280 #-# 13 #-# -1
1640 #-# 13 #-# -1
281 #-# 13 #-# -1
1560 #-# 277 #-# -1
11 #-# 4 #-# -1
7 #-# 3 #-# -1
3 #-# 4 #-# -1
10 #-# 2 #-# -1
464 #-# 856 #-# -1
1452 #-# 645 #-# -1
277 #-# 856 #-# -1
182 #-# 9 #-# -1
9 #-# 183 #-# -1
1250 #-# 1451 #-# -1
1451 #-# 1454 #-# -1
1451 #-# 283 #-# -1
12 #-# 4 #-# -1
1452 #-# 857 #-# -1
1804 #-# 1643 #-# -1
1643 #-# 1982 #-# -1
1643 #-# 1995 #-# -1
1984 #-# 1995 #-# -1
185 #-# 4 #-# -1
2 #-# 4 #-# -1
641 #-# 857 #-# -1
464 #-# 1454 #-# -1
277 #-# 1454 #-# -1
857 #-# 1454 #-# -1
1804 #-# 461 #-# -1
1804 #-# 1807 #-# -1
1804 #-# 1994 #-# -1
1984 #-# 1807 #-# -1
1984 #-# 1994 #-# -1
277 #-# 282 #-# -1
861 #-# 1981 #-# -1
1981 #-# 1248 #-# -1
186 #-# 4 #-# -1
1561 #-# 283 #-# -1
1805 #-# 458 #-# -1
1812 #-# 458 #-# -1
1646 #-# 458 #-# -1
458 #-# 1810 #-# -1
458 #-# 1983 #-# -1
7 #-# 10 #-# -1
1805 #-# 1457 #-# -1
1812 #-# 1457 #-# -1
1646 #-# 1457 #-# -1
1810 #-# 1457 #-# -1
1983 #-# 1457 #-# -1
464 #-# 465 #-# -1
464 #-# 1247 #-# -1
1560 #-# 1247 #-# -1
464 #-# 1640 #-# -1
464 #-# 648 #-# -1
645 #-# 648 #-# -1
856 #-# 280 #-# -1
3 #-# 184 #-# -1
5 #-# 1 #-# -1
464 #-# 1565 #-# -1
1452 #-# 1565 #-# -1
858 #-# 1641 #-# -1
861 #-# 1641 #-# -1
1805 #-# 1982 #-# -1
1812 #-# 1982 #-# -1
1982 #-# 1646 #-# -1
1982 #-# 1810 #-# -1
1982 #-# 1983 #-# -1
1981 #-# 1249 #-# -1
463 #-# 280 #-# -1
463 #-# 1247 #-# -1
280 #-# 456 #-# -1
1809 #-# 1247 #-# -1
1813 #-# 281 #-# -1
1813 #-# 1247 #-# -1
643 #-# 277 #-# -1
643 #-# 281 #-# -1
277 #-# 1247 #-# -1
281 #-# 1247 #-# -1
857 #-# 1247 #-# -1
279 #-# 1247 #-# -1
1560 #-# 280 #-# -1
182 #-# 184 #-# -1
182 #-# 185 #-# -1
11 #-# 8 #-# -1
463 #-# 464 #-# -1
463 #-# 1813 #-# -1
463 #-# 643 #-# -1
463 #-# 277 #-# -1
464 #-# 643 #-# -1
641 #-# 277 #-# -1
1645 #-# 1995 #-# -1
642 #-# 280 #-# -1
642 #-# 281 #-# -1
643 #-# 282 #-# -1
280 #-# 184 #-# -1
1640 #-# 184 #-# -1
281 #-# 184 #-# -1
282 #-# 13 #-# -1
282 #-# 184 #-# -1
1647 #-# 1996 #-# -1
1993 #-# 462 #-# -1
1803 #-# 1996 #-# -1
1987 #-# 462 #-# -1
1987 #-# 1996 #-# -1
1815 #-# 279 #-# -1
1815 #-# 1456 #-# -1
279 #-# 1456 #-# -1
279 #-# 1563 #-# -1
1456 #-# 1562 #-# -1
276 #-# 1805 #-# -1
276 #-# 1812 #-# -1
276 #-# 1646 #-# -1
276 #-# 1810 #-# -1
276 #-# 1983 #-# -1
1993 #-# 1995 #-# -1
1803 #-# 1995 #-# -1
1989 #-# 462 #-# -1
1993 #-# 1988 #-# -1
1803 #-# 1988 #-# -1
462 #-# 1807 #-# -1
1988 #-# 1807 #-# -1
463 #-# 1560 #-# -1
465 #-# 283 #-# -1
1560 #-# 11 #-# -1
1560 #-# 6 #-# -1
641 #-# 11 #-# -1
641 #-# 6 #-# -1
641 #-# 1806 #-# -1
11 #-# 1452 #-# -1
11 #-# 278 #-# -1
11 #-# 1806 #-# -1
1452 #-# 6 #-# -1
6 #-# 278 #-# -1
6 #-# 1806 #-# -1
278 #-# 1806 #-# -1
181 #-# 6 #-# -1
6 #-# 9 #-# -1
1560 #-# 1250 #-# -1
1560 #-# 1251 #-# -1
1560 #-# 1815 #-# -1
1560 #-# 1456 #-# -1
1560 #-# 1563 #-# -1
1250 #-# 1251 #-# -1
1250 #-# 1452 #-# -1
1250 #-# 1815 #-# -1
1250 #-# 1563 #-# -1
1251 #-# 1452 #-# -1
1251 #-# 1815 #-# -1
1251 #-# 1563 #-# -1
1452 #-# 1815 #-# -1
1452 #-# 1456 #-# -1
1452 #-# 1563 #-# -1
641 #-# 7 #-# -1
641 #-# 184 #-# -1
7 #-# 282 #-# -1
279 #-# 282 #-# -1
1982 #-# 1457 #-# -1
1805 #-# 1996 #-# -1
1812 #-# 1996 #-# -1
1646 #-# 1996 #-# -1
458 #-# 1996 #-# -1
1810 #-# 1996 #-# -1
1996 #-# 1983 #-# -1
466 #-# 644 #-# -1
466 #-# 858 #-# -1
466 #-# 861 #-# -1
466 #-# 862 #-# -1
644 #-# 457 #-# -1
646 #-# 457 #-# -1
861 #-# 457 #-# -1
646 #-# 1024 #-# -1
646 #-# 1028 #-# -1
646 #-# 1029 #-# -1
861 #-# 1029 #-# -1
1028 #-# 1029 #-# -1
1029 #-# 1641 #-# -1
458 #-# 1457 #-# -1
1804 #-# 459 #-# -1
1804 #-# 1458 #-# -1
1804 #-# 1644 #-# -1
1984 #-# 459 #-# -1
1984 #-# 1458 #-# -1
459 #-# 1995 #-# -1
1458 #-# 1995 #-# -1
1458 #-# 458 #-# -1
1995 #-# 458 #-# -1
1644 #-# 458 #-# -1
181 #-# 182 #-# -1
11 #-# 184 #-# -1
464 #-# 1815 #-# -1
464 #-# 1456 #-# -1
465 #-# 1815 #-# -1
465 #-# 1456 #-# -1
856 #-# 1815 #-# -1
182 #-# 13 #-# -1
1805 #-# 461 #-# -1
1812 #-# 461 #-# -1
461 #-# 1646 #-# -1
461 #-# 1810 #-# -1
461 #-# 1983 #-# -1
461 #-# 1457 #-# -1
1982 #-# 458 #-# -1
642 #-# 277 #-# -1
642 #-# 1247 #-# -1
1813 #-# 648 #-# -1
1813 #-# 282 #-# -1
642 #-# 648 #-# -1
648 #-# 281 #-# -1
648 #-# 282 #-# -1
186 #-# 10 #-# -1
464 #-# 859 #-# -1
641 #-# 859 #-# -1
641 #-# 1809 #-# -1
645 #-# 859 #-# -1
859 #-# 1809 #-# -1
1805 #-# 1807 #-# -1
1805 #-# 1994 #-# -1
1812 #-# 1807 #-# -1
1812 #-# 1994 #-# -1
1646 #-# 1807 #-# -1
1646 #-# 1994 #-# -1
1810 #-# 1807 #-# -1
1810 #-# 1994 #-# -1
1807 #-# 1983 #-# -1
1807 #-# 1457 #-# -1
1983 #-# 1994 #-# -1
1994 #-# 1457 #-# -1
858 #-# 1023 #-# -1
862 #-# 1031 #-# -1
1023 #-# 1024 #-# -1
1024 #-# 457 #-# -1
1031 #-# 457 #-# -1
6 #-# 184 #-# -1
6 #-# 185 #-# -1
464 #-# 642 #-# -1
1813 #-# 645 #-# -1
1813 #-# 1809 #-# -1
1643 #-# 459 #-# -1
1643 #-# 1458 #-# -1
1643 #-# 1992 #-# -1
1643 #-# 461 #-# -1
1643 #-# 1987 #-# -1
1984 #-# 1992 #-# -1
1984 #-# 1987 #-# -1
459 #-# 1988 #-# -1
1458 #-# 1988 #-# -1
461 #-# 1988 #-# -1
1987 #-# 1988 #-# -1
459 #-# 1805 #-# -1
459 #-# 1812 #-# -1
459 #-# 1646 #-# -1
459 #-# 1810 #-# -1
459 #-# 1983 #-# -1
1996 #-# 1457 #-# -1
276 #-# 1457 #-# -1
1805 #-# 1811 #-# -1
1812 #-# 1811 #-# -1
1646 #-# 1811 #-# -1
