"s"	"p"	"o"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/gdpYear"	2011
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/gemstone"	"Ohio Flint"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/governmentType"	"http://dbpedia.org/resource/Mayor%E2%80%93council_government"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/governmentType"	"http://dbpedia.org/resource/Rob_Ford"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/governmentType"	"http://dbpedia.org/resource/Mayor%E2%80%93council_government"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/governmentType"	"http://dbpedia.org/resource/Council%E2%80%93manager_government"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/governor"	"http://dbpedia.org/resource/Pat_Quinn_(politician)"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/governor"	"http://dbpedia.org/resource/John_Kasich"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/grass"	"http://dbpedia.org/resource/Andropogon_gerardii"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/headerAlign"	"left/right/center"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/highestelev"	376.4
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/highestelev"	472
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/highestelevus"	1235
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/highestelevus"	1549
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/highestpoint"	"http://dbpedia.org/resource/Charles_Mound"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/highestpoint"	"http://dbpedia.org/resource/Campbell_Hill_(Ohio)"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/houseseats"	106
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/id"	"il0993"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	0001-03-09+02:00
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"Allstate Arena.jpg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"Portage Park Chicago Gate.JPG"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"Soldier FieldChi.jpg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"US Cellular.jpg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"United Center 060716.jpg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"Washington Square Park & Newberry Library.JPG"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/image"	"Wrigley field 720.jpg"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/imageAlt"	"The seal of the University of Chicago. It is in the shape of a shield, with a drawing of a phoenix on the bottom and a book with the university's motto ""Crescat scientia; vita excolatur"" on the top."
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/imageBlankEmblem"	"City of Toronto Logo.png"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/imageCaption"	"From top left: Downtown Toronto featuring the CN Tower and Financial District from the Toronto Islands, City Hall, the Ontario Legislative Building, Casa Loma, Prince Edward Viaduct, and the Scarborough Bluffs"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/imageCaption"	"Clockwise from top: Downtown Chicago, the Chicago Theatre, the 'L', Navy Pier, Millennium Park, the Field Museum, and Willis Tower."
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/imageCaption"	"Downtown Kent, September 2009"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/imageFlag"	"Toronto Flag.svg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/imageFlag"	"Flag of Chicago, Illinois.svg"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/imageMap"	"Toronto Location in Ontario.png"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/imageMap"	"US-IL-Chicago.png"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/imageMap"	"Ohio Portage Kent.png"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/imageName"	"University_of_Chicago_Modern_Etched_Seal 1.svg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/imageSeal"	"Chicago city seal.png"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/imageSeal"	"Kentlogo.png"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/imageShield"	"Toronto Coat of Arms.jpg"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/imageSize"	250
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/imageSkyline"	"Montage of Toronto 7.jpg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/imageSkyline"	"Chicago montage1.jpg"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/imageSkyline"	"Downtown Kent Ohio 2.jpg"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/imagesize"	300
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/imperialFirst"	"Y"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/incomerank"	17
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/incomerank"	"33.0"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/insect"	"http://dbpedia.org/resource/Coccinellidae"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/isocode"	"US-IL"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/isocode"	"US-OH"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/isocode"	"CA-ON"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/janHighF"	34
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/janLowF"	20
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/janPrecipitationInch"	2.02
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/janRecordHighF"	65
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/janRecordLowF"	"−22"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/julHighF"	84
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/julLowF"	64
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/julPrecipitationInch"	3.87
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/julRecordHighF"	103
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/julRecordLowF"	44
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/junHighF"	80
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/junLowF"	60
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/junPrecipitationInch"	3.13
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/junRecordHighF"	101
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/junRecordLowF"	39
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/labelMap"	"no"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/landarea"	143968
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/landarea"	106156
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/landareaKm"	917741
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/landareaus"	55593
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/landareaus"	40948
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/languages"	"Spanish"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/languages"	"English"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/languages"	"Other"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/languages"	"English 93.3%"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/languages"	"Other 4.5%"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/languages"	"Spanish 2.2%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/largestcity"	"http://dbpedia.org/resource/Chicago"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/largestcity"	"capital"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/largestcity"	"Toronto"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/largestmetro"	"http://dbpedia.org/resource/Chicago_metropolitan_area"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/largestmetro"	"http://dbpedia.org/resource/Cincinnati_metropolitan_area"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/largestmetro"	"http://dbpedia.org/resource/Greater_Toronto_Area"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/latd"	43
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/latd"	41
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/latd"	41
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/latinName"	"Universitas Chicagiensis"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/latitude"	36
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/latitude"	38
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/latitude"	41
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/latm"	42
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/latm"	52
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/latm"	9
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/latns"	"N"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/latns"	"N"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/latns"	"N"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/lats"	55
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/lats"	2
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderName"	"http://dbpedia.org/resource/Toronto_City_Council"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderName"	"http://dbpedia.org/resource/Norm_Kelly"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderName"	"http://dbpedia.org/resource/Rob_Ford"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/leaderName"	50
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/leaderName"	"Rahm Emanuel"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/leaderName"	"Dave Ruller"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/leaderName"	"Jerry Fiala"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/Member_of_parliament"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/Member_of_Provincial_Parliament_(Ontario)"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/List_of_mayors_of_Toronto"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderTitle"	"Council"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/leaderTitle"	"Deputy Mayor"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/Mayor_of_Chicago"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/Chicago_City_Council"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/Mayor"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/leaderTitle"	"http://dbpedia.org/resource/City_manager"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/legislature"	"http://dbpedia.org/resource/Illinois_General_Assembly"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/legislature"	"http://dbpedia.org/resource/Ohio_General_Assembly"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/legislature"	"Legislative Assembly of Ontario"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/length"	629
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/length"	355
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/lengthus"	395
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/lengthus"	220
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/lieutenantGovernor"	"http://dbpedia.org/resource/Sheila_Simon"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/lieutenantGovernor"	"http://dbpedia.org/resource/Mary_Taylor_(politician)"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Baptist: 11%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Buddhist: 1%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Catholic: 29%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Christian: 7%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Church of Christ: 1%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Congregationalist/
United Church of Christ: 1%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Episcopalian/Anglican: 2%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Evangelical: 2%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Jewish: 1%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Lutheran: 7%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Methodist: 6%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Muslim/Islamic: 1%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"No religion: 15%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Non-denominational: 2%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Not specified: 4%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Other: 3%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Pentecostal: 2%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Presbyterian: 3%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/list"	"Protestant: 2%"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/liststyle"	"text-align:left;"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/location"	"Kent, Ohio"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/logo"	250
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/logo"	220
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/logo"	"Ontario logo.jpg"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/longd"	79
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/longd"	87
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/longd"	81
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/longew"	"W"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/longew"	"W"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/longew"	"W"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/longitude"	87
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/longitude"	80
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/longitude"	81
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/longm"	24
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/longm"	37
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/longm"	21
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/longs"	40
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/longs"	40
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/lowerhouse"	"http://dbpedia.org/resource/Illinois_House_of_Representatives"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/lowerhouse"	"http://dbpedia.org/resource/Ohio_House_of_Representatives"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/lowestelev"	85
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/lowestelev"	139
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/lowestelevus"	280
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/lowestelevus"	455
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/lowestpoint"	"Confluence of Mississippi River and Ohio River"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/lowestpoint"	"Ohio River at"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/mammal"	"http://dbpedia.org/resource/White-tailed_deer"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/mammal"	"http://dbpedia.org/resource/White-tailed_deer"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/map"	"Illinois in United States.svg"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/map"	"Ohio in United States.svg"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/map"	"Ontario in Canada.svg"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/mapCaption"	"Location of Toronto and its census metropolitan area in the province of Ontario"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/mapCaption"	"Location in the Chicago metropolitan area and Illinois"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/mapCaption"	"Location in Portage County, Ohio"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/mapsize"	220
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/marHighF"	48
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/marLowF"	30
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/marPrecipitationInch"	2.85
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/marRecordHighF"	81
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/marRecordLowF"	1
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/mascot"	"http://dbpedia.org/resource/Phoenix_(mythology)"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/mascot"	"Phoenix"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/mascot"	"Flash the Golden Eagle"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/mayHighF"	72
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/mayLowF"	51
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/mayPrecipitationInch"	3.61
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/mayRecordHighF"	94
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/mayRecordLowF"	30
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/meanelev"	180
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/meanelev"	260
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/meanelevus"	600
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/meanelevus"	850
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/medianhouseholdincome"	"54124.0"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/medianhouseholdincome"	"48071.0"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/mineral"	"http://dbpedia.org/resource/Fluorite"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/motto"	"Diversity Our Strength"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/motto"	"Crescat scientia; vita excolatur"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/motto"	", I Will"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/motto"	"State sovereignty, national union"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/motto"	"Excellence In Action"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/motto"	"http://dbpedia.org/resource/With_God,_all_things_are_possible"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/motto"	"""With God all things are possible."""
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/motto"	"Ut Incepit Fidelis Sic Permanet"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/mottoeng"	"Let knowledge grow from more to more; and so be human life enriched"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/n"	"Portal:Toronto, Ontario"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/name"	"David Naylor"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/name"	"Naylor, David"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/name"	"Toronto"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/name"	"University of Chicago"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/name"	"Lester Lefton"
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/name"	"Lefton, Lester"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/name"	"Chicago"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/name"	"Illinois"
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/name"	"Kent State University"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/name"	"Ohio"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/name"	"Ontario"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/name"	"Kent"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/namedFor"	"http://dbpedia.org/resource/Marvin_Kent"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/navbar"	"off"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/nickname"	"http://dbpedia.org/resource/Name_of_Toronto"
"http://dbpedia.org/resource/University_of_Chicago"	"http://dbpedia.org/property/nickname"	"http://dbpedia.org/resource/Chicago_Maroons"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/nickname"	"The Windy City, Chi-Town, The Second City, City of Broad Shoulders, and others found at List of nicknames for Chicago"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/nickname"	"Land of Lincoln; The ""Prairie State"""
"http://dbpedia.org/resource/Kent_State_University"	"http://dbpedia.org/property/nickname"	"http://dbpedia.org/resource/Kent_State_Golden_Flashes"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/nickname"	"Birthplace of Aviation; The Heart of It All"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/nickname"	"The Buckeye State; The Mother of Presidents;"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/nickname"	"The Tree City"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/north"	"http://dbpedia.org/resource/Markham,_Ontario"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/north"	"http://dbpedia.org/resource/Vaughan"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/north"	"•  Lake Erie"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/northeast"	"http://dbpedia.org/resource/Lake_Michigan"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/northwest"	"http://dbpedia.org/resource/Brampton"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/novHighF"	50
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/novLowF"	36
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/novPrecipitationInch"	3.22
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/novRecordHighF"	76
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/novRecordLowF"	2
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/octHighF"	62
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/octLowF"	45
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/octPrecipitationInch"	2.46
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/octRecordHighF"	84
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/octRecordLowF"	25
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/office"	"President of the University of Toronto"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/office"	"http://dbpedia.org/resource/List_of_U.S._states_by_date_of_statehood"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/office"	"http://dbpedia.org/resource/List_of_U.S._states_by_date_of_statehood"
"http://dbpedia.org/resource/Toronto"	"http://dbpedia.org/property/officialName"	"City of Toronto"
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/officialName"	"City of Chicago"
"http://dbpedia.org/resource/Kent,_Ohio"	"http://dbpedia.org/property/officialName"	"City of Kent, Ohio"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/officiallang"	"English"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/officiallang"	"None"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/officiallang"	"De facto: English"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/officiallang"	"De jure: None"
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/officiallang"	"English"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/order"	15
"http://dbpedia.org/resource/Lester_Lefton"	"http://dbpedia.org/property/order"	11
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/other"	"Fruit: Pawpaw"
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/other"	"Wild flower: Great white trillium"
"http://dbpedia.org/resource/Illinois"	"http://dbpedia.org/property/pcwater"	3.99
"http://dbpedia.org/resource/Ohio"	"http://dbpedia.org/property/pcwater"	8.7
"http://dbpedia.org/resource/Ontario"	"http://dbpedia.org/property/percentwater"	14.8
"http://dbpedia.org/resource/Chicago"	"http://dbpedia.org/property/photos"	45
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/placeOfBirth"	"http://dbpedia.org/resource/Ontario"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/placeOfBirth"	"http://dbpedia.org/resource/Woodstock,_Ontario"
"http://dbpedia.org/resource/David_Naylor"	"http://dbpedia.org/property/placeOfBirth"	"http://dbpedia.org/resource/Canada"
